question,avg_abs_coef_normalized
Does the sentence contain a reference to weather or environmental conditions?,0.319
Is there a reference to a physical injury or accident?,0.319
Is there a description of weather conditions?,0.318
Is there a mention of a specific location?,0.317
Is there a mention of a place of worship or religious practice?,0.317
Does the input discuss a health issue or concern?,0.316
Does the sentence describe an event with emotional significance?,0.316
Does the sentence describe practicing or learning a new skill?,0.316
Is a supernatural or paranormal event discussed?,0.316
Is there any mention of a dream or aspiration?,0.314
Is there a mention of a game or sport?,0.313
Is there a mention of a personal emotion or feeling?,0.313
Is there a mention of a specific location or place?,0.311
Does the sentence involve a personal reflection or introspection?,0.311
Is there a mention of a gadget or piece of technology?,0.31
Is a family member mentioned?,0.306
Is there a mention of a specific leisure activity or pastime?,0.305
Is the sentence highlighting a contrast between the narrator's past and present self?,0.305
Is there a description of a technological device or app?,0.304
Does the text involve a financial goal or saving?,0.302
Does the sentence describe a personal challenge or difficulty?,0.3
Is there an explicit mention of a hobby or leisure activity?,0.3
Does the input contain emotional words?,0.299
Is a holiday or celebration referenced in the input?,0.298
Is there a mention of a specific natural resource or environmental concern?,0.297
Is the sentence emotionally positive?,0.295
Does the sentence express gratitude or appreciation for something or someone?,0.294
Does the input describe an animal?,0.294
Is there mention of a religious or spiritual theme?,0.292
Is a personal goal or objective mentioned?,0.289
Is a specific piece of technology or gadget mentioned?,0.288
Does the input involve a financial transaction or discussion?,0.287
Is there a mention of a hobby or leisure activity?,0.286
Does the input involve animals or wildlife?,0.286
Does the text involve a change in perspective or attitude?,0.286
Does the sentence involve a financial transaction or mention of money?,0.284
Does the sentence involve a financial transaction or consideration?,0.283
Does the sentence describe a personal preference?,0.28
Is a specific historical figure or leader mentioned?,0.28
Is the input mentioning an animal?,0.28
Is there a mention of a specific artistic or creative activity?,0.279
Is a scientific concept or theory mentioned?,0.279
Is there a reference to a social media trend or online phenomenon?,0.276
Is a significant historical period or event described?,0.276
Does the sentence describe a personal achievement or milestone?,0.27
Is a specific historical event or period mentioned?,0.269
Is there mention of technology or innovation?,0.268
Is a seasonal holiday or event described?,0.267
Does the sentence include a mention of technology?,0.26
Does the input discuss a personal achievement or milestone?,0.26
Does the story mention a health issue or injury?,0.258
Does the input express gratitude?,0.257
Is the input about a personal achievement or milestone?,0.249
Is there an expression of frustration or annoyance?,0.24
Does the sentence involve an animal?,0.238
